,track_uri,artist_uri,genres,artist_name,track_name
0,39u3fJ8HNR4PLlGBirvjBi,2FXC3k01G6Gw61bmprjgqS,irish singer-songwriter,Hozier,Like Real People Do
1,39u3fJ8HNR4PLlGBirvjBi,2FXC3k01G6Gw61bmprjgqS,pop,Hozier,Like Real People Do
2,6ZAJkghLCraONrwsyaNMvw,0J7U24vlOOIeMpuaO6Q85A,la pop,LP,Into the Wild
3,6ZAJkghLCraONrwsyaNMvw,0J7U24vlOOIeMpuaO6Q85A,women's music,LP,Into the Wild
4,0GbxcbGWZyccF5vGGp4yYF,0ou1EkRCAJcfRv2P1qKVPo,turkish alternative,Flört,Şakalar
5,0GbxcbGWZyccF5vGGp4yYF,0ou1EkRCAJcfRv2P1qKVPo,turkish alternative rock,Flört,Şakalar
6,0GbxcbGWZyccF5vGGp4yYF,0ou1EkRCAJcfRv2P1qKVPo,turkish psych,Flört,Şakalar
7,0GbxcbGWZyccF5vGGp4yYF,0ou1EkRCAJcfRv2P1qKVPo,turkish rock,Flört,Şakalar
8,1oyDmnMAXSZiq1kVpjB3xU,0k17h0D3J5VfsdmQ1iZtE9,album rock,Pink Floyd,"Prelude (The Wall Work In Progress, Pt. 1, 1979) [Programme 2] [Roger Original Demo] - 2011 Remastered Version"
9,1oyDmnMAXSZiq1kVpjB3xU,0k17h0D3J5VfsdmQ1iZtE9,art rock,Pink Floyd,"Prelude (The Wall Work In Progress, Pt. 1, 1979) [Programme 2] [Roger Original Demo] - 2011 Remastered Version"
10,1oyDmnMAXSZiq1kVpjB3xU,0k17h0D3J5VfsdmQ1iZtE9,classic rock,Pink Floyd,"Prelude (The Wall Work In Progress, Pt. 1, 1979) [Programme 2] [Roger Original Demo] - 2011 Remastered Version"
11,1oyDmnMAXSZiq1kVpjB3xU,0k17h0D3J5VfsdmQ1iZtE9,progressive rock,Pink Floyd,"Prelude (The Wall Work In Progress, Pt. 1, 1979) [Programme 2] [Roger Original Demo] - 2011 Remastered Version"
12,1oyDmnMAXSZiq1kVpjB3xU,0k17h0D3J5VfsdmQ1iZtE9,psychedelic rock,Pink Floyd,"Prelude (The Wall Work In Progress, Pt. 1, 1979) [Programme 2] [Roger Original Demo] - 2011 Remastered Version"
13,1oyDmnMAXSZiq1kVpjB3xU,0k17h0D3J5VfsdmQ1iZtE9,rock,Pink Floyd,"Prelude (The Wall Work In Progress, Pt. 1, 1979) [Programme 2] [Roger Original Demo] - 2011 Remastered Version"
14,1oyDmnMAXSZiq1kVpjB3xU,0k17h0D3J5VfsdmQ1iZtE9,symphonic rock,Pink Floyd,"Prelude (The Wall Work In Progress, Pt. 1, 1979) [Programme 2] [Roger Original Demo] - 2011 Remastered Version"
15,1nKzIXBZOaNlrIehmfxUlh,0ybFZ2Ab08V8hueghSXm6E,alternative metal,Opeth,The Ward
