,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri,genres
0,2021-08-25 21:59,Son Feci Bisiklet,Torna,260467,Son Feci Bisiklet:Torna,0,,,['turkish rock']
1,2021-08-26 15:10,Son Feci Bisiklet,İstasyon,264480,Son Feci Bisiklet:İstasyon,0,,,['turkish rock']
2,2021-08-26 15:25,Son Feci Bisiklet,6patlar,279040,Son Feci Bisiklet:6patlar,0,,,['turkish rock']
3,2021-08-26 15:29,Son Feci Bisiklet,Manidar,228960,Son Feci Bisiklet:Manidar,0,,,['turkish rock']
4,2021-08-26 15:32,Son Feci Bisiklet,80,216800,Son Feci Bisiklet:80,0,,,['turkish rock']
5,2021-08-26 15:37,Son Feci Bisiklet,Uyku,264960,Son Feci Bisiklet:Uyku,0,,,['turkish rock']
6,2021-08-26 15:42,Son Feci Bisiklet,Torna,283200,Son Feci Bisiklet:Torna,0,,,['turkish rock']
7,2021-08-26 15:45,Son Feci Bisiklet,Beteri Var,186400,Son Feci Bisiklet:Beteri Var,0,,,['turkish rock']
8,2021-08-26 15:50,Son Feci Bisiklet,Ufolar,294240,Son Feci Bisiklet:Ufolar,0,,,['turkish rock']
9,2021-08-26 16:03,Son Feci Bisiklet,İstasyon,161100,Son Feci Bisiklet:İstasyon,0,,,['turkish rock']
10,2021-08-26 16:07,Yüzyüzeyken Konuşuruz,Ateş Edecek Misin?,283693,Yüzyüzeyken Konuşuruz:Ateş Edecek Misin?,0,,,['turkish alternative rock']
11,2021-08-26 16:12,Yavuz Çetin,Sadece Senin Olmak,274506,Yavuz Çetin:Sadece Senin Olmak,1,Satılık,6kIDpP4xHxSaig61VWNebl,"['turkish alternative', 'turkish jazz', 'turkish metal', 'turkish rock']"
12,2021-08-26 16:16,Palmiyeler,Karbeyaz,242690,Palmiyeler:Karbeyaz,0,,,['turkish alternative rock']
13,2021-08-26 16:20,Adamlar,Utanmazsan Unutmam,246579,Adamlar:Utanmazsan Unutmam,1,Eski Dostum Tankla Gelmiş,2mZIlQojKiKxql5hRvccOP,['turkish rock']
14,2021-08-26 16:23,Canozan,Sen Kocaman Çöllerde,203000,Canozan:Sen Kocaman Çöllerde,0,,,"['turkish alt pop', 'turkish alternative rock']"
15,2021-08-26 16:27,Yüzyüzeyken Konuşuruz,Bir Sinema Filmine Bilet Almışım,219200,Yüzyüzeyken Konuşuruz:Bir Sinema Filmine Bilet Almışım,0,,,['turkish alternative rock']
16,2021-08-26 16:31,Büyük Ev Ablukada,En Güzel Yerinde Evin,241013,Büyük Ev Ablukada:En Güzel Yerinde Evin,0,,,"['turkish alternative rock', 'turkish rock']"
17,2021-08-26 16:35,Yavuz Çetin,Cherokee,218546,Yavuz Çetin:Cherokee,1,Satılık,6xAMKg2cbvSh6x1x2dMw0U,"['turkish alternative', 'turkish jazz', 'turkish metal', 'turkish rock']"
18,2021-08-26 16:39,Deniz Tekin,Hep Oturup Bekledim,266195,Deniz Tekin:Hep Oturup Bekledim,0,,,"['turkish alt pop', 'turkish rock']"
